# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  137       5.182945740939e-10       1.477415089872e-13      -5.732134778886e-12       8.186038098372e-16       4.592376506600e-12       7.789568472465e-13      -4.869527247577e-15 
  138       5.227939160284e-10       1.478980802166e-13      -5.772925327627e-12       8.313805041974e-16       4.499332957143e-12       7.666705876139e-13      -4.805000307441e-15 
  139       5.272846862193e-10       1.479898750680e-13      -5.811181181799e-12       8.442845428579e-16       4.408838288696e-12       7.546705238311e-13      -4.741419027993e-15 
  140       5.317654880519e-10       1.480169662367e-13      -5.846844487781e-12       8.573170373560e-16       4.320772716369e-12       7.429405958886e-13      -4.678511252824e-15 
  141       5.362348527537e-10       1.479795078140e-13      -5.879858363634e-12       8.704791169025e-16       4.235000071142e-12       7.314626033383e-13      -4.615983629338e-15 
  142       5.406912378365e-10       1.478777369752e-13      -5.910166937073e-12       8.837719285119e-16       4.151367436081e-12       7.202161576171e-13      -4.553521185242e-15 
  143       5.451330255375e-10       1.477119756684e-13      -5.937715383450e-12       8.971966371323e-16       4.069704782541e-12       7.091786343698e-13      -4.490786905048e-15 
  144       5.495586532300e-10       1.474826414578e-13      -5.962450285909e-12       9.107543084978e-16       3.989860620470e-12       6.983300721957e-13      -4.427491612861e-15 
  145       5.539670224316e-10       1.471902776953e-13      -5.984320675701e-12       9.244455443978e-16       3.911813678435e-12       6.876685138426e-13      -4.363612279580e-15 
  146       5.583571273440e-10       1.468355295469e-13      -6.003277167103e-12       9.382708115293e-16       3.835571593459e-12       6.771960938584e-13      -4.299194532998e-15 
  147       5.627279257133e-10       1.464191368303e-13      -6.019271683931e-12       9.522305550060e-16       3.761135730170e-12       6.669142088991e-13      -4.234284264805e-15 
  148       5.670783380301e-10       1.459419357555e-13      -6.032257499365e-12       9.663251978133e-16       3.688501023985e-12       6.568234984790e-13      -4.168927611149e-15 
  149       5.714072467297e-10       1.454048606666e-13      -6.042189275782e-12       9.805551402647e-16       3.617655824304e-12       6.469238257227e-13      -4.103170933187e-15 
  150       5.757134953927e-10       1.448089457820e-13      -6.049023104589e-12       9.949207594571e-16       3.548581737698e-12       6.372142581151e-13      -4.037060797640e-15 
  151       5.799958879447e-10       1.441553269360e-13      -6.052716546049e-12       1.009422408727e-15       3.481253471094e-12       6.276930482532e-13      -3.970643957351e-15 
  152       5.842531878570e-10       1.434452433194e-13      -6.053228669113e-12       1.024060417104e-15       3.415638674968e-12       6.183576145966e-13      -3.903967331836e-15 
  153       5.884841173469e-10       1.426800392208e-13      -6.050520091253e-12       1.038835088771e-15       3.351697786534e-12       6.092045222191e-13      -3.837077987840e-15 
  154       5.926873565773e-10       1.418611657675e-13      -6.044553018288e-12       1.053746702516e-15       3.289383872932e-12       6.002294635589e-13      -3.770023119894e-15 
  155       5.968615428580e-10       1.409901826666e-13      -6.035291284218e-12       1.068795511189e-15       3.228642474414e-12       5.914272391704e-13      -3.702850030867e-15 
  156       6.010052698451e-10       1.400687599458e-13      -6.022700391053e-12       1.083981741157e-15       3.169411447539e-12       5.827917384747e-13      -3.635606112524e-15 
  157       6.051170867415e-10       1.390986796947e-13      -6.006747548643e-12       1.099305591763e-15       3.111620808356e-12       5.743159205108e-13      -3.568338826076e-15 
  158       6.091954974973e-10       1.380818378056e-13      -5.987401714509e-12       1.114767234776e-15       3.055192575599e-12       5.659917946868e-13      -3.501095682740e-15 
  159       6.132389600099e-10       1.370202457146e-13      -5.964633633674e-12       1.130366813851e-15       3.000040613869e-12       5.578104015305e-13      -3.433924224292e-15 
  160       6.172458853246e-10       1.359160321427e-13      -5.938415878492e-12       1.146104443986e-15       2.946070476830e-12       5.497617934408e-13      -3.366872003619e-15 
  161       6.212147481453e-10       1.347713955098e-13      -5.908722757528e-12       1.161980221602e-15       2.893198759525e-12       5.418373549317e-13      -3.299984753723e-15 
  162       6.251444310302e-10       1.335884527938e-13      -5.875529949509e-12       1.177994256953e-15       2.841413407766e-12       5.340370343588e-13      -3.233300753566e-15 
  163       6.290339092480e-10       1.323693805709e-13      -5.838814912977e-12       1.194146643557e-15       2.790718467201e-12       5.263627179032e-13      -3.166855924499e-15 
  164       6.328821419188e-10       1.311164646424e-13      -5.798557053238e-12       1.210437447333e-15       2.741114987349e-12       5.188159391789e-13      -3.100685569444e-15 
